number,name,type,type_label,runs_days,source_code,source,dest_code,destination,distance_km,travel_time,num_stops
12995,BDTS AII SF EXP,SUF,Superfast,"Wed,Fri,Sun",BDTS,BANDRA TERMINUS,AII,AJMER JN,1013,17:00,19
12997,BARMER HUMSAFAR,SUF,Superfast,Wed,BDTS,BANDRA TERMINUS,BME,BARMER,993,17:45,22
13121,KOAA GCT EXPRES,MEX,Mail/Express,Sun,KOAA,KOLKATTA TERMINAL,GCT,GHAZIPUR CITY,744,14:10,15
13150,KANCHAN KANYA,MEX,Mail/Express,Daily,APDJ,ALIPUR DUAR JN,SDAH,SEALDAH,755,16:40,30
13177,SDAH-JRLE CONV EXP,MEX,Mail/Express,"Mon,Tue,Wed,Thu,Fri,Sat",SDAH,SEALDAH,JRLE,JANGIPUR ROAD,263,06:20,52
13307,GANGASUTLEJ EXP,MEX,Mail/Express,Daily,DHN,DHANBAD JN,FZR,FIROZPUR CANT,1601,36:10,71
13343,BSB-SKTN  INTERCITY EXP,MEX,Mail/Express,"Thu,Fri,Sat",BSB,VARANASI,SKTN,SHAKTINAGAR,227,08:10,12
13348,PALAMOU EXP,MEX,Mail/Express,Daily,PNBE,PATNA JN,BRKA,BARKA KANA,494,11:45,33
13415,MLDT PNBE EXP,MEX,Mail/Express,"Wed,Fri,Sun",MLDT,MALDA TOWN,PNBE,PATNA JN,400,09:25,19
13429,MLDT ANVT EXP,MEX,Mail/Express,Fri,MLDT,MALDA TOWN,ANVT,ANAND VIHAR TERMINAL,1406,28:55,26
13508,GKP ASN EXP,MEX,Mail/Express,Sat,GKP,GORAKHPUR JN,ASN,ASANSOL JN.,644,14:35,15
14004,NDLS MLDT EXP,MEX,Mail/Express,"Thu,Sun",NDLS,NEW DELHI,MLDT,MALDA TOWN,1418,29:35,24
14201,JNU - RBL EXPRESS ,MEX,Mail/Express,Daily,JNU,JAUNPUR JN,RBL,RAE BARELI JN,202,05:25,13
14313,BAREILLY EXPRESS,MEX,Mail/Express,Mon,LTT,LOKMANYATILAK,BE,BAREILLY(NR),1595,31:15,26
14707,RANAKPUR EXP,MEX,Mail/Express,Daily,HMH,HANUMANGARH JN,DDR,DADAR,1449,25:45,40
15003,CHAURICHAURA EXP,MEX,Mail/Express,Daily,CPA,KANPUR ANWRGANJ,GKP,GORAKHPUR JN,553,13:30,29
15037,CPA-KSJ EXP,MEX,Mail/Express,Daily,CPA,KANPUR ANWRGANJ,KSJ,KASGANJ,244,05:05,19
15090,GTNR GODDA EXP,MEX,Mail/Express,Fri,GTNR,GOMTI NAGAR,GODA,GODDA,806,19:55,24
15516,DNR-NKE EXPRESS,MEX,Mail/Express,Daily,DNR,DANAPUR,NKE,NARKATIAGANJ JN,318,10:15,28
15768,APDJ-SGUJ I C EXPRESS,MEX,Mail/Express,Daily,APDJ,ALIPUR DUAR JN,SGUJ,SILIGURI JN,161,04:55,21
15903,DBRG CDG EXP,MEX,Mail/Express,"Mon,Fri",DBRG,DIBRUGARH,CDG,CHANDIGARH,2643,52:30,36
15911,TSK NHLN EXP,MEX,Mail/Express,"Wed,Thu,Sun",TSK,TINSUKIA JN.,NHLN,NAHARLAGUN,225,06:15,11
16057,SAPTHAGIRI EXP,MEX,Mail/Express,Daily,MAS,PURATCHI THALAIVAR DR. MGR CTL,TPTY,TIRUPATI,145,03:20,9
16104,RMM TBM EXP,MEX,Mail/Express,Daily,RMM,RAMESWARAM,TBM,TAMBARAM,615,11:45,20
16308,CAN ALLP EXP,MEX,Mail/Express,Daily,CAN,KANNUR,ALLP,ALAPPUZHA,340,08:20,28
16311,SGNR KCVL EXP,MEX,Mail/Express,Tue,SGNR,SHRI GANGANAGAR,TVCN,THIRUVANANTHAPURAM NORTH,3018,56:35,53
16313,TVCN-MAJN ANTYODAYA EXP,MEX,Mail/Express,Mon,TVCN,THIRUVANANTHAPURAM NORTH,MAJN,MANGALORE JUNCTION,624,13:35,24
16568,SMET-TK UR EXP,MEX,Mail/Express,Daily,SMET,SHIMOGA TOWN,TK,TUMKUR,204,05:10,28
16622,MAQ RMM EXPRESS,MEX,Mail/Express,Sat,MAQ,MANGALORE CENTRAL,RMM,RAMESWARAM,753,15:20,17
17078,TPJ CHZ EXPRESS,MEX,Mail/Express,Wed,TPJ,TIRUCHCHIRAPPALLI JN.,CHZ,CHARLAPALLI,1080,24:50,24
17205,SNSI COA EXPRESS,MEX,Mail/Express,"Tue,Thu,Sun",SNSI,SAINAGAR SHIRDI,COA,KAKINADA PORT,1340,26:45,39
17248,DMM NS EXP,MEX,Mail/Express,Daily,DMM,DHARMAVARAM JN,NS,NARASAPUR,793,15:05,28
